Player,School,POS,REC,YDS,AVG,LNG,TD
Brendan Doyle,MEM,['TE'],['1'],['7'],['7.0'],['7'],['1']
Isaac Hodgins,ORST,['DL'],['2'],['6'],['3.0'],['4'],['1']
D'Marcus Adams,SYR,['WR'],['1'],['6'],['6.0'],['6'],['0']
Shawn Bowman,RUTG,['TE'],['1'],['6'],['6.0'],['6'],['0']
Micah Bernard,UTAH,['RB'],['2'],['6'],['3.0'],['8'],['0']
Deon Fountain,CCU,['WR'],['1'],['6'],['6.0'],['6'],['0']
Leon Franklin,MICH,['RB'],['1'],['6'],['6.0'],['6'],['0']
Jake Schultz,OKST,['FB'],['1'],['6'],['6.0'],['6'],['0']
AJ Green,ARK,['RB'],['4'],['6'],['1.5'],['7'],['0']
Kadinn Morris,WMU,['TE'],['1'],['6'],['6.0'],['6'],['0']
Max Reese,EMU,['TE'],['1'],['6'],['6.0'],['6'],['0']
Mason Wheeler,WASH,['WR'],['1'],['6'],['6.0'],['6'],['0']
Jahiem White,WVU,['RB'],['1'],['6'],['6.0'],['6'],['0']
Bryan Henry,HOU,['TE'],['1'],['6'],['6.0'],['6'],['1']
Keith Willis Jr.,LT,['RB'],['3'],['6'],['2.0'],['4'],['0']
Jamari Ferrell,WYO,['RB'],['1'],['6'],['6.0'],['6'],['0']
Desirrio Riles,ECU,['TE'],['3'],['6'],['2.0'],['4'],['0']
Jacob Godfrey,UNM,['WR'],['1'],['6'],['6.0'],['6'],['0']
Gunner Gentry,WYO,['WR'],['1'],['5'],['5.0'],['5'],['0']
Erik Pizarro,KSU,['WR'],['1'],['5'],['5.0'],['5'],['0']
Asher Alberding,CAL,['TE'],['1'],['5'],['5.0'],['5'],['0']
Yusuf Terry,USF,['WR'],['1'],['5'],['5.0'],['5'],['0']
Sean Tyler,MINN,['RB'],['3'],['5'],['1.7'],['13'],['0']
Micah Kelly,TOL,['RB'],['1'],['5'],['5.0'],['5'],['0']
Aidan Robbins,BYU,['RB'],['3'],['5'],['1.7'],['6'],['0']
LJ Johnson Jr.,SMU,['RB'],['1'],['5'],['5.0'],['5'],['0']
Corey Wren,TCU,['RB'],['1'],['5'],['5.0'],['5'],['0']
Sean Greeley,MD,['LB'],['2'],['5'],['2.5'],['4'],['2']
Evan Morris,MSU,['TE'],['2'],['5'],['2.5'],['4'],['0']
Jack Kennedy,NU,['WR'],['1'],['5'],['5.0'],['5'],['0']
Avery White,USM,['TE'],['1'],['5'],['5.0'],['5'],['0']
Joey Bearns III,CLT,['TE'],['2'],['5'],['2.5'],['7'],['0']
Myles Montgomery,CIN,['RB'],['5'],['5'],['1.0'],['4'],['0']
Max Patterson,RUTG,['WR'],['1'],['5'],['5.0'],['5'],['0']
Willie Shaw III,TOL,['RB'],['1'],['5'],['5.0'],['5'],['0']
Xavier Coleman,BC,['RB'],['1'],['5'],['5.0'],['5'],['0']
Troy Lewis,JMU,['WR'],['1'],['5'],['5.0'],['5'],['0']
Janiran Bonner,NEB,['FB'],['1'],['5'],['5.0'],['5'],['0']
Max Holler,UCF,['TE'],['1'],['5'],['5.0'],['5'],['0']
Sedrick Irvin,STAN,['RB'],['1'],['5'],['5.0'],['5'],['0']
Robert Smith,MD,['WR'],['1'],['5'],['5.0'],['5'],['0']
Brock Rechsteiner,JVST,['WR'],['1'],['5'],['5.0'],['5'],['0']
Amin Hassan,NAVY,['RB'],['1'],['5'],['5.0'],['5'],['0']
Matthew Klopfenstein,BAY,['TE'],['1'],['5'],['5.0'],['5'],['0']
Evan Dickens,GT,['RB'],['1'],['5'],['5.0'],['5'],['0']
Anthony Frias II,KSU,['RB'],['2'],['5'],['2.5'],['5'],['0']
Garrett Shrader,SYR,['QB'],['2'],['4'],['2.0'],['9'],['0']
Tahj Gary,TLSA,['RB'],['1'],['4'],['4.0'],['4'],['0']
Dominique Johnson,ARK,['RB'],['2'],['4'],['2.0'],['6'],['0']
Elijah Canion,PUR,['WR'],['1'],['4'],['4.0'],['4'],['0']
Tyler Savage,ECU,['TE'],['2'],['4'],['2.0'],['6'],['0']
Daniel Carter,PITT,['RB'],['2'],['4'],['2.0'],['4'],['0']
Kyrese Rowan,USU,['WR'],['1'],['4'],['4.0'],['4'],['0']
Nick Harris,CONN,['TE'],['1'],['4'],['4.0'],['4'],['1']
Deyunkrea Lewis,TROY,['TE'],['1'],['4'],['4.0'],['4'],['0']
Keegan Wilburn,OHIO,['WR'],['1'],['4'],['4.0'],['4'],['0']
Corey Cuascut-Palmer,TEM,['CB'],['1'],['4'],['4.0'],['4'],['0']
Donnie Gray,NU,['WR'],['1'],['4'],['4.0'],['4'],['0']
Kelan Robinson,ECU,['WR'],['1'],['4'],['4.0'],['4'],['0']
Caleb Driskill,WYO,['FB'],['1'],['4'],['4.0'],['4'],['1']
Caleb Schmitz,CIN,['TE'],['1'],['4'],['4.0'],['4'],['0']
Andre Greene Jr.,UNC,['WR'],['1'],['4'],['4.0'],['4'],['0']
Chase Ketterer,ND,['RB'],['1'],['4'],['4.0'],['4'],['0']
Preston Daniel,FSU,['TE'],['1'],['4'],['4.0'],['4'],['1']
Tobias Weaver,SHSU,['RB'],['1'],['4'],['4.0'],['4'],['0']
Omari Evans,PSU,['WR'],['1'],['4'],['4.0'],['4'],['1']
Mata'ava Ta'ase,BYU,['TE'],['1'],['4'],['4.0'],['4'],['0']
Karmello English,MICH,['WR'],['1'],['4'],['4.0'],['4'],['1']
John Locke,LT,['TE'],['2'],['4'],['2.0'],['3'],['1']
Terron Kellman,CLT,['RB'],['1'],['4'],['4.0'],['4'],['0']
Ryan Butler,STAN,['RB'],['1'],['4'],['4.0'],['4'],['0']
Tony Livingston,FLA,['TE'],['1'],['4'],['4.0'],['4'],['0']
Tyler Williams,UGA,['WR'],['1'],['4'],['4.0'],['4'],['0']
Micah Woods,BUFF,['WR'],['1'],['4'],['4.0'],['4'],['0']
Marcello Bussey,MEM,['WR'],['1'],['4'],['4.0'],['4'],['0']
Elijah Davis,UL,['RB'],['1'],['4'],['4.0'],['4'],['0']
Alan Bowman,OKST,['QB'],['1'],['3'],['3.0'],['3'],['0']
Jude Wolfe,USC,['TE'],['1'],['3'],['3.0'],['3'],['1']
Nolan Rucci,WIS,['OL'],['1'],['3'],['3.0'],['3'],['1']
Kamarro Edmonds,ECU,['RB'],['1'],['3'],['3.0'],['3'],['0']
Brandon Campbell,HOU,['RB'],['1'],['3'],['3.0'],['3'],['0']
Kendrell Flowers,NIU,['RB'],['1'],['3'],['3.0'],['3'],['0']
Jaylen Coleman,DUKE,['RB'],['1'],['3'],['3.0'],['3'],['0']
Talmage Gunther,BYU,['WR'],['1'],['3'],['3.0'],['3'],['0']
Jeremiah Webb,USA,['WR'],['1'],['3'],['3.0'],['3'],['1']
Thomas Zsiros,TOL,['WR'],['1'],['3'],['3.0'],['3'],['0']
Terry Wilkins,MTSU,['RB'],['2'],['3'],['1.5'],['3'],['0']
Donald Chaney Jr.,MIA,['RB'],['1'],['3'],['3.0'],['3'],['0']
Gavin Garcia,KENT,['RB'],['1'],['3'],['3.0'],['3'],['0']
David Cordero,HAW,['RB'],['1'],['3'],['3.0'],['3'],['0']
Quinn Ewers,TEX,['QB'],['1'],['3'],['3.0'],['3'],['0']
Christian Washington,UNM,['RB'],['1'],['3'],['3.0'],['3'],['0']
Dylan Wade,MD,['TE'],['2'],['3'],['1.5'],['3'],['1']
Keaton Cheves,SMU,['WR'],['1'],['3'],['3.0'],['3'],['0']
Daelen Alexander,RICE,['RB'],['1'],['3'],['3.0'],['3'],['1']
Will Monney,USU,['TE'],['1'],['3'],['3.0'],['3'],['0']
Rickey Hunt,OHIO,['RB'],['1'],['3'],['3.0'],['3'],['0']
Joachim Bangda,CLT,['RB'],['1'],['2'],['2.0'],['2'],['0']
Duke Olges,NU,['TE'],['1'],['2'],['2.0'],['2'],['0']
Emery Simmons,UTAH,['WR'],['1'],['2'],['2.0'],['2'],['0']
Kedon Slovis,BYU,['QB'],['1'],['2'],['2.0'],['2'],['0']
Malik Hornsby,TXST,['QB'],['1'],['2'],['2.0'],['2'],['0']
DJ Williams,ARIZ,['RB'],['1'],['2'],['2.0'],['2'],['0']
Hampton Earle,CLEM,['WR'],['1'],['2'],['2.0'],['2'],['0']
Jhaylin Embry,BGSU,['WR'],['1'],['2'],['2.0'],['2'],['0']
Treylan Davis,WVU,['TE'],['2'],['2'],['1.0'],['1'],['0']
Stone Eby,SMU,['OL'],['1'],['2'],['2.0'],['2'],['1']
Jamal Johnson,BGSU,['RB'],['1'],['2'],['2.0'],['2'],['0']
Ethan Dirrim,GASO,['TE'],['1'],['2'],['2.0'],['2'],['0']
Mehki Wall,DUKE,['WR'],['1'],['2'],['2.0'],['2'],['0']
Jayshon Platt,FAU,['WR'],['1'],['2'],['2.0'],['2'],['0']
Zylan Perry,UL,['RB'],['1'],['2'],['2.0'],['2'],['0']
CJ Hester,WMU,['RB'],['1'],['2'],['2.0'],['2'],['0']
Hayden Large,IOWA,['FB'],['1'],['2'],['2.0'],['2'],['0']
Chris Johnson Jr.,MIA,['RB'],['1'],['2'],['2.0'],['2'],['0']
Xavier Williams,KENT,['RB'],['1'],['1'],['1.0'],['1'],['0']
Peyton Sawyer,HOU,['WR'],['1'],['1'],['1.0'],['1'],['0']
Shea Whiting,BOIS,['WR'],['1'],['1'],['1.0'],['1'],['0']
Rashad Amos,M-OH,['RB'],['3'],['1'],['0.3'],['6'],['0']
J.J. Sparkman,TTU,['WR'],['1'],['1'],['1.0'],['1'],['0']
Joshua Rawlings,UVA,['TE'],['1'],['1'],['1.0'],['1'],['0']
Byron Murphy II,TEX,['DL'],['1'],['1'],['1.0'],['1'],['1']
Amaad Foston,UVA,['RB'],['1'],['1'],['1.0'],['1'],['0']
Kaden Dudley,BOIS,['RB'],['1'],['1'],['1.0'],['1'],['0']
Tanner Arkin,ILL,['TE'],['1'],['1'],['1.0'],['1'],['1']
Johnny Pascuzzi,IOWA,['TE'],['1'],['1'],['1.0'],['1'],['0']
Bert Auburn,TEX,['PK'],['1'],['1'],['1.0'],['1'],['0']
Bryson Washington,BAY,['RB'],['1'],['1'],['1.0'],['1'],['0']
Ka'Morreun Pimpton,LSU,['TE'],['1'],['1'],['1.0'],['1'],['0']
Brady Small,ARMY,['OL'],['0'],['1'],['0.0'],['1'],['0']
Chris Autman-Bell,MINN,['WR'],['1'],['-1'],['-1.0'],['0'],['0']
Dante Zanders,FLA,['TE'],['1'],['-1'],['-1.0'],['0'],['0']
Ta'Quan Roberson,CONN,['QB'],['0'],['-1'],['0.0'],['0'],['0']
Cam'ron Barfield,BC,['RB'],['1'],['-1'],['-1.0'],['0'],['0']
Carter Lambert,JVST,['QB'],['1'],['-1'],['-1.0'],['-1'],['0']
Jordan Lovett,TROY,['RB'],['1'],['-1'],['-1.0'],['0'],['0']
Caleb Goodie,CSU,['WR'],['1'],['-1'],['-1.0'],['-1'],['0']
Drayden Dickmann,RICE,['WR'],['1'],['-1'],['-1.0'],['-1'],['0']
Ray Paulo,BYU,['TE'],['1'],['-1'],['-1.0'],['-1'],['0']
Terrence Williams,UL,['RB'],['1'],['-2'],['-2.0'],['0'],['0']
Dallan Hayden,OSU,['RB'],['1'],['-2'],['-2.0'],['0'],['0']
Jalen Coit,NCSU,['WR'],['1'],['-3'],['-3.0'],['0'],['0']
Jordan Houston,NCSU,['RB'],['3'],['-3'],['-1.0'],['0'],['0']
Bronson Barron,WKU,['QB'],['1'],['-3'],['-3.0'],['0'],['0']
Nasjzae Bryant-Lelei,HAW,['RB'],['1'],['-3'],['-3.0'],['0'],['0']
Zion Fowler-El,PITT,['WR'],['1'],['-3'],['-3.0'],['-3'],['0']
Sam Hartman,ND,['QB'],['0'],['-4'],['0.0'],['0'],['0']
Avery Morrow,CSU,['RB'],['1'],['-4'],['-4.0'],['0'],['0']
Kellen Stewart,MTSU,['WR'],['2'],['-5'],['-2.5'],['7'],['0']
Chase Lundt,CONN,['OL'],['0'],['-6'],['0.0'],['-6'],['0']
Miles Davis,BYU,['RB'],['1'],['-7'],['-7.0'],['0'],['0']
Ethan Vasko,CCU,['QB'],['1'],['-7'],['-7.0'],['0'],['0']
Thomas Castellanos,BC,['QB'],['1'],['-9'],['-9.0'],['0'],['0']
Dewayne Coleman,ARMY,['QB'],['0'],['-10'],['0.0'],['0'],['0']
